TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-H,46.79,5.791,1.013,0.274,39.897,4.536,10.304,80.763,14.128,635.557,2.141,fluid,61.411,14.538,11.624,11.716,12.242,0.669,71.433
Type-N,50.534,5.767,0.241,0.339,39.304,5.594,0.0,80.062,15.007,873.574,0.993,fix,54.351,23.112,20.916,1.35,0.0,1.691,87.293
Type-W,53.874,5.501,0.415,0.127,38.43,2.018,0.0,75.419,24.029,745.855,1.032,fluid,50.963,19.198,23.451,6.132,13.098,1.03,96.306
Type-R,47.639,6.671,0.163,0.198,41.459,0.319,5.015,69.687,16.359,827.184,0.413,fluid,40.05,34.123,15.542,10.411,2.441,0.84,226.844
Type-V,57.368,6.375,0.719,0.54,32.26,7.014,9.173,75.312,14.772,823.999,1.08,fix,51.979,19.077,21.642,7.549,0.722,1.405,100.342
Type-B,37.162,5.558,0.355,0.0,40.558,15.09,7.672,65.092,18.144,768.259,0.776,fluid,51.684,23.967,18.278,6.267,29.995,1.034,93.185
Type-N,52.249,5.02,0.225,0.344,39.995,4.698,0.0,77.409,13.731,776.55,1.189,fix,42.436,13.661,38.008,6.09,58.764,0.902,175.064
Type-D,37.587,5.133,0.214,0.0,52.486,2.302,10.242,88.514,14.201,674.565,0.985,fluid,47.394,20.985,21.956,9.41,68.318,0.731,179.672
Type-W,56.03,5.446,0.402,0.117,37.176,1.942,0.0,75.811,24.318,756.247,1.066,fluid,53.431,17.625,22.779,6.005,11.572,1.074,103.693
Type-V,53.534,6.598,0.809,0.514,32.586,7.014,8.79,77.462,15.103,834.613,2.746,fix,53.958,15.941,24.988,5.497,1.824,1.47,106.451
Type-V,47.915,6.412,0.843,0.458,35.59,6.998,9.609,77.069,14.291,787.293,1.494,fix,57.886,15.355,21.989,4.602,0.232,1.888,99.763
Type-F,42.515,6.249,1.027,0.107,44.864,1.553,11.842,75.978,13.987,811.941,1.232,fluid,59.525,14.955,17.439,7.972,7.569,1.104,107.406
Type-N,50.118,5.397,0.245,0.332,42.311,5.909,0.0,87.212,14.842,697.359,0.993,fix,41.106,13.951,38.406,6.154,63.34,0.949,161.327
Type-F,42.362,7.224,0.974,0.103,46.5,1.533,11.595,78.037,13.642,835.519,0.925,fluid,56.318,19.924,14.964,8.978,8.234,0.883,107.919
Type-B,37.745,4.578,0.331,0.0,46.562,16.082,8.399,64.581,17.993,673.458,0.689,fluid,38.959,35.161,17.16,8.84,107.932,0.567,180.199
Type-N,46.02,5.386,0.276,0.309,37.376,6.062,0.0,87.322,14.385,940.765,1.059,fix,55.579,22.769,20.732,1.338,0.0,1.642,104.403
Type-M,44.772,6.345,0.239,0.0,46.69,0.48,10.285,75.982,14.989,869.861,0.681,fluid,48.621,20.907,22.699,8.11,12.725,1.097,99.689
Type-R,45.482,6.689,0.165,0.201,42.27,0.318,5.068,74.77,15.085,808.668,0.551,fluid,39.775,34.282,15.56,10.423,2.713,0.891,229.882
Type-W,54.383,5.126,0.452,0.111,39.187,2.069,0.0,70.405,22.793,768.908,0.3,fluid,41.703,30.256,17.081,10.953,12.1,0.995,105.049
Type-N,44.405,5.017,0.273,0.328,39.845,5.22,0.0,80.276,13.94,735.812,1.251,fix,41.752,13.81,38.212,6.123,58.224,1.014,180.052
Type-I,49.217,5.927,1.259,0.234,35.422,9.326,9.277,66.355,17.163,874.258,1.814,fix,54.141,17.922,24.861,2.81,12.115,1.539,42.846
Type-R,55.224,6.7,0.166,0.192,40.852,0.358,4.672,76.097,16.969,779.402,0.803,fluid,42.559,30.939,18.061,8.314,1.559,0.941,202.673
Type-A,34.5,4.783,0.267,0.0,47.168,14.359,9.813,65.259,16.554,638.878,0.692,fluid,42.784,25.475,22.31,9.339,80.931,0.607,221.678
Type-E,42.099,6.637,0.193,0.0,46.535,1.234,8.49,81.508,13.894,694.394,0.813,fluid,58.833,22.6,12.321,6.16,37.587,0.987,135.862
Type-V,52.447,6.836,0.828,0.494,32.575,7.066,8.808,80.304,14.744,819.503,1.246,fix,56.693,17.502,21.037,5.009,0.218,1.619,101.734
Type-A,35.896,4.808,0.248,0.0,46.098,15.888,10.436,63.586,18.155,809.818,0.649,fluid,52.617,22.052,18.607,7.041,35.594,0.863,138.023
Type-R,49.984,6.869,0.156,0.211,45.537,0.365,4.548,76.818,15.301,796.244,0.198,fluid,39.53,31.687,18.823,9.942,2.885,0.669,248.144
Type-R,51.613,6.626,0.153,0.201,42.908,0.316,5.209,81.582,16.322,805.483,1.265,fluid,42.533,30.914,19.14,7.446,1.319,0.955,193.661
Type-C,38.095,5.531,0.9,0.087,42.315,12.508,0.0,67.45,10.96,500.0,0.863,fix,16.584,53.02,21.814,8.634,12.61,0.151,113.331
Type-E,42.982,6.553,0.188,0.0,44.501,1.366,8.148,76.053,14.202,734.449,0.87,fluid,56.935,20.92,15.667,6.267,27.988,1.163,97.056
Type-F,44.629,6.533,1.055,0.111,44.706,1.551,12.33,75.908,14.001,816.016,1.341,fluid,59.913,14.514,17.513,8.006,6.146,1.027,109.853
Type-B,36.19,4.991,0.307,0.0,42.398,16.851,7.908,66.736,18.188,670.187,0.95,fluid,38.901,35.197,17.164,8.842,101.374,0.528,182.964
Type-F,44.613,6.587,1.078,0.111,46.066,1.551,11.959,71.55,14.553,763.994,1.365,fluid,63.85,13.02,14.018,9.012,11.882,0.869,92.145
Type-G,44.445,5.404,8.477,0.0,36.263,1.107,7.705,71.056,18.757,819.602,0.569,fluid,43.594,33.203,11.7,11.5,41.084,1.727,104.474
Type-R,49.667,6.639,0.151,0.185,42.322,0.334,5.01,78.049,19.049,788.304,0.754,fluid,44.932,26.638,18.592,9.752,2.055,0.982,226.808
Type-A,31.222,4.823,0.26,0.0,43.077,15.427,9.572,67.769,16.337,718.841,0.804,fluid,54.798,17.852,18.399,9.199,62.222,0.589,163.244
Type-B,37.767,5.028,0.362,0.0,40.987,16.205,7.224,65.539,17.604,663.933,0.784,fluid,38.79,35.265,17.171,8.846,102.845,0.574,164.752
Type-T,52.301,6.048,0.209,0.0,39.726,0.203,7.366,85.089,14.965,822.3,1.141,fluid,46.6,22.234,21.538,9.41,3.179,1.45,105.942
Type-O,48.692,5.598,0.039,0.0,45.414,0.586,8.88,79.539,18.291,877.272,1.135,fix,33.477,41.835,14.204,10.521,226.041,0.762,5.976
Type-V,47.945,6.89,0.792,0.464,32.266,6.929,9.839,78.192,14.626,845.115,1.27,fix,58.898,16.519,22.018,2.502,0.195,1.908,100.678
Type-O,54.982,5.888,0.039,0.0,43.774,0.566,10.023,78.375,18.781,861.154,1.503,fix,39.275,34.325,17.316,8.92,141.035,0.99,4.84
Type-I,48.613,6.458,1.198,0.21,33.19,9.667,10.216,65.532,15.343,899.786,1.473,fix,54.606,17.821,24.771,2.8,13.007,1.429,41.762
Type-C,40.151,5.415,0.968,0.093,44.261,13.301,0.0,75.424,10.969,928.778,1.035,fix,45.366,17.31,28.631,8.892,12.621,0.981,99.562
Type-O,47.396,6.664,0.039,0.0,43.565,0.543,9.212,91.246,18.36,948.5,1.633,fix,40.434,33.665,17.23,8.876,139.854,0.964,4.282
Type-N,51.211,5.424,0.273,0.344,38.767,5.186,0.0,78.851,14.217,897.814,1.255,fix,54.794,22.989,20.849,1.345,0.0,1.834,96.685
Type-C,40.767,5.753,0.871,0.094,41.373,13.027,0.0,80.566,10.114,711.848,0.954,fix,45.997,29.403,17.668,7.031,11.655,0.624,108.363
Type-I,46.731,6.483,1.159,0.207,36.732,9.509,10.036,63.109,17.086,797.819,1.528,fix,43.035,25.294,23.365,8.292,12.426,2.149,52.651
Type-J,48.359,7.046,0.19,0.094,34.594,8.419,0.0,87.271,5.435,503.038,1.136,fix,22.61,24.081,25.777,27.538,12.588,0.11,109.419
Type-W,57.69,4.987,0.432,0.121,35.897,1.987,0.0,78.373,25.616,741.246,1.147,fluid,53.117,17.693,22.835,6.02,12.542,1.148,91.863
Type-B,38.121,5.386,0.327,0.0,42.479,13.438,7.967,68.851,17.585,758.905,0.898,fluid,51.492,24.027,18.302,6.275,33.558,0.915,82.469
Type-N,52.907,5.538,0.239,0.339,39.486,5.773,0.0,74.439,14.888,848.055,1.104,fix,53.885,23.243,20.987,1.354,0.0,1.513,91.524
Type-D,42.275,5.032,0.202,0.0,51.353,2.531,11.007,77.656,12.641,772.997,0.995,fluid,52.678,22.605,17.454,7.187,34.543,0.961,179.417
Type-C,34.895,5.553,0.934,0.098,46.517,12.103,0.0,72.397,10.256,701.794,0.986,fix,45.8,29.488,17.688,7.039,12.182,0.586,100.728
Type-J,43.516,7.422,0.191,0.09,34.472,8.298,0.0,83.89,5.177,504.65,1.24,fix,22.632,24.065,25.775,27.536,12.097,0.109,103.337
Type-N,49.622,5.694,0.245,0.352,45.002,5.611,0.0,81.471,13.926,868.272,0.879,fix,54.254,23.139,20.931,1.351,0.0,1.766,96.675
Type-Q,49.852,6.959,0.165,0.201,39.9,0.371,4.794,78.064,16.815,804.871,0.959,fluid,51.35,22.084,18.581,8.035,15.436,1.644,97.457
Type-U,49.599,5.733,0.216,0.103,39.602,0.428,7.902,79.195,15.349,841.964,0.949,fluid,27.409,44.502,13.763,14.292,10.249,0.579,100.314
Type-L,50.764,5.346,0.181,0.032,47.51,1.087,6.256,76.599,19.449,841.785,0.775,fluid,54.538,19.223,22.176,4.475,0.992,1.529,96.001
Type-F,41.863,6.144,0.987,0.109,44.515,1.448,11.579,81.263,15.751,834.097,1.219,fluid,60.009,14.874,17.368,7.94,6.853,1.333,112.951
Type-U,54.691,5.467,0.221,0.096,44.0,0.427,7.872,78.782,15.354,764.281,1.003,fluid,26.466,41.945,16.844,14.738,11.211,0.467,103.012
Type-V,50.087,6.631,0.794,0.462,34.123,7.134,10.013,74.329,16.196,784.114,1.434,fix,55.946,17.658,21.162,5.038,0.243,1.624,91.285
Type-D,41.446,4.777,0.174,0.0,52.459,2.349,10.814,84.709,13.908,737.186,0.846,fluid,52.55,22.641,18.497,6.166,51.245,0.884,183.828
Type-D,39.693,5.054,0.191,0.0,47.241,2.507,11.106,88.687,15.042,795.629,0.846,fluid,53.138,22.474,17.396,7.163,32.256,0.934,171.897
Type-F,45.421,6.348,1.07,0.105,47.588,1.552,11.231,70.821,16.199,803.221,0.961,fluid,59.632,15.061,17.052,8.025,12.598,1.225,93.654
Type-I,47.69,6.538,1.29,0.231,35.317,9.168,8.854,65.232,16.764,950.0,3.176,fix,49.086,16.307,32.734,2.4,13.052,1.429,108.235
Type-U,43.781,5.532,0.189,0.099,41.269,0.447,7.256,84.321,15.861,808.425,1.182,fluid,27.069,44.879,13.758,14.287,11.365,0.576,104.061
Type-M,48.49,6.232,0.233,0.0,44.664,0.484,11.098,69.3,15.384,784.903,0.494,fluid,43.706,23.644,23.109,9.223,13.397,1.07,114.739
Type-C,36.991,5.439,1.018,0.09,43.069,12.605,0.0,79.986,10.585,500.0,1.004,fix,16.511,53.174,21.796,8.627,12.504,0.157,103.507
Type-S,47.924,6.793,0.099,0.0,44.415,0.493,0.0,86.341,13.321,914.392,1.055,fix,42.975,33.772,15.995,7.333,12.885,1.116,96.659
Type-N,48.292,5.366,0.253,0.341,39.78,6.069,0.0,80.207,16.058,873.235,1.098,fix,53.071,16.025,28.947,2.194,3.236,1.29,106.748
Type-V,52.317,6.496,0.816,0.484,31.86,7.363,9.275,82.191,15.02,818.998,0.897,fix,49.842,22.85,15.778,11.706,7.883,1.224,96.665
Type-I,48.249,6.4,1.255,0.211,33.105,9.273,8.986,57.434,17.784,913.491,1.355,fix,50.124,18.893,26.266,4.832,12.075,2.361,24.503
Type-Q,49.055,7.037,0.151,0.211,42.838,0.354,5.005,81.371,18.918,912.368,1.058,fluid,55.11,20.409,17.18,7.429,11.827,1.597,107.706
Type-B,37.318,4.932,0.299,0.0,45.975,14.289,7.034,67.246,16.371,656.516,0.836,fluid,38.658,35.346,17.18,8.85,97.348,0.565,191.306
Type-F,45.371,6.386,0.951,0.104,43.443,1.474,11.826,73.495,15.005,879.688,0.846,fluid,56.755,20.157,15.13,8.069,13.112,1.379,100.3
Type-R,50.083,6.971,0.155,0.207,41.343,0.308,5.008,75.883,15.564,807.112,0.744,fluid,45.25,26.513,18.556,9.733,2.11,0.869,242.011
Type-J,47.697,7.698,0.183,0.092,38.586,7.74,0.0,84.026,5.555,863.389,0.914,fix,21.298,23.898,26.094,28.679,12.605,0.95,104.293
Type-N,48.308,5.102,0.268,0.337,42.719,5.952,0.0,78.05,13.453,950.0,1.207,fix,56.098,22.624,20.655,1.333,0.0,1.774,91.595
Type-F,47.463,6.136,1.047,0.118,44.987,1.551,11.974,73.262,14.969,844.078,1.394,fluid,65.847,12.75,13.78,8.859,12.855,0.977,101.43
Type-O,47.228,6.043,0.04,0.0,44.83,0.49,9.243,85.577,19.596,865.26,2.694,fix,41.995,31.328,18.7,7.792,134.962,1.056,3.463
Type-K,47.124,5.01,0.533,0.01,37.03,7.293,0.0,73.47,22.761,840.637,1.015,fix,52.132,22.193,19.563,6.019,12.527,0.845,217.302
Type-F,46.919,5.734,1.03,0.108,42.471,1.586,11.598,73.94,14.862,814.687,1.412,fluid,59.585,14.945,17.43,7.968,7.604,1.186,99.362
Type-K,49.995,5.362,0.629,0.011,38.71,7.749,0.0,74.494,20.32,848.441,0.644,fix,41.034,24.501,22.056,12.4,13.37,0.711,211.415
Type-V,54.955,7.134,0.832,0.521,34.084,6.956,9.693,72.115,16.169,804.907,1.29,fix,56.385,17.566,21.088,5.021,0.216,1.643,98.073
Type-P,50.223,5.809,0.4,0.097,42.039,0.259,0.0,86.677,16.702,783.835,0.888,fluid,57.33,14.204,22.751,5.898,13.283,1.072,100.045
Type-Q,50.654,6.685,0.152,0.19,44.356,0.325,5.089,81.043,18.273,887.307,0.361,fluid,54.23,20.716,17.401,7.525,14.779,1.38,98.597
Type-F,43.318,6.567,0.884,0.12,47.253,1.417,13.316,85.912,14.637,826.183,0.93,fluid,59.837,14.903,17.393,7.951,7.486,1.279,100.64
Type-W,59.074,5.502,0.452,0.129,40.205,1.939,0.0,78.749,24.123,803.666,0.511,fluid,47.205,23.747,20.796,8.537,13.392,1.081,96.815
Type-P,48.057,5.994,0.406,0.097,37.054,0.258,0.0,83.843,17.13,789.858,0.354,fluid,28.315,41.285,13.688,16.714,12.65,0.996,114.141
Type-N,52.296,5.668,0.261,0.324,39.293,5.555,0.0,75.883,14.72,760.264,1.12,fix,42.162,13.72,38.089,6.103,61.462,0.981,160.903
Type-E,42.271,6.758,0.192,0.0,49.8,1.301,8.764,90.04,14.152,742.976,0.898,fluid,60.061,22.287,12.209,6.104,38.195,0.87,140.756
Type-O,48.437,5.83,0.04,0.0,44.551,0.517,9.26,79.648,18.271,888.78,1.433,fix,39.642,34.116,17.289,8.906,147.151,0.967,4.776
Type-D,39.536,5.17,0.217,0.0,52.038,2.24,11.635,85.207,13.158,699.708,0.819,fluid,47.911,20.835,21.876,9.375,67.827,0.656,203.466
Type-U,50.189,5.921,0.207,0.096,42.554,0.387,8.577,81.975,15.473,722.696,1.058,fluid,26.028,42.412,16.839,14.734,11.716,0.539,87.872
Type-V,48.658,6.559,0.778,0.45,33.447,6.865,10.043,79.904,15.392,820.82,1.386,fix,56.721,17.496,21.032,5.008,0.225,1.629,101.09
Type-O,41.944,6.14,0.039,0.0,42.758,0.572,10.089,83.811,17.952,906.473,0.119,fix,29.907,52.281,7.331,10.472,145.715,0.671,10.798
Type-A,33.001,4.727,0.24,0.0,48.689,14.896,9.717,65.851,18.066,664.475,0.762,fluid,43.292,25.276,22.241,9.31,85.619,0.542,240.009
Type-W,52.74,5.65,0.46,0.125,34.945,1.887,0.0,73.567,21.621,761.912,0.958,fluid,51.285,19.118,23.394,6.117,12.144,1.01,100.101
Type-L,51.093,5.923,0.173,0.029,40.653,1.03,6.282,70.646,19.764,805.216,0.964,fluid,53.804,19.399,22.299,4.5,1.022,1.559,99.922
Type-F,46.159,6.073,1.037,0.11,42.778,1.654,12.545,71.445,14.299,873.092,1.342,fluid,56.626,20.188,15.145,8.077,12.351,1.381,104.933
Type-F,45.474,7.142,1.08,0.114,45.614,1.639,12.198,75.879,14.546,821.11,0.81,fluid,56.023,19.995,14.997,8.998,8.964,0.766,103.478
Type-C,39.146,5.844,0.934,0.095,42.835,13.217,0.0,71.678,10.521,687.788,0.954,fix,45.525,29.606,17.716,7.05,12.271,0.594,109.912
Type-W,45.437,5.425,0.418,0.122,42.172,2.148,0.0,73.617,22.836,789.208,0.988,fluid,54.121,17.474,22.656,5.973,13.071,1.001,104.406
Type-A,36.848,4.515,0.259,0.0,42.452,15.615,10.336,68.736,16.573,683.478,0.62,fluid,53.974,18.033,18.517,9.259,69.203,0.565,162.184
Type-M,46.971,6.377,0.239,0.0,41.036,0.466,10.258,87.031,16.542,858.859,0.684,fluid,48.43,20.963,22.73,8.121,12.323,1.277,99.88
Type-O,51.922,5.999,0.036,0.0,40.984,0.562,9.369,86.913,17.754,876.88,1.158,fix,30.445,39.432,17.983,12.165,258.93,0.688,6.233
Type-R,44.955,6.948,0.164,0.199,39.544,0.328,4.944,71.509,16.314,812.155,0.637,fluid,43.085,30.686,18.012,8.292,1.601,1.018,194.572
Type-U,51.473,6.008,0.213,0.099,40.358,0.442,7.888,89.45,14.966,702.887,1.11,fluid,23.589,42.373,19.373,14.661,12.155,0.494,93.489
Type-S,45.868,6.578,0.105,0.0,45.533,0.491,0.0,87.229,13.033,917.005,1.038,fix,43.012,33.752,15.992,7.332,13.646,1.19,100.021
Type-O,48.569,6.105,0.042,0.0,40.967,0.588,9.856,72.697,20.598,873.164,2.539,fix,42.107,31.273,18.689,7.787,144.282,0.986,3.693
Type-F,47.721,6.422,1.013,0.107,43.486,1.506,11.087,75.493,13.526,845.563,1.357,fluid,56.089,20.316,15.207,8.11,12.821,1.338,103.152
Type-M,51.92,7.151,0.254,0.0,43.081,0.488,11.478,70.913,15.61,816.947,0.503,fluid,44.22,23.464,23.031,9.193,12.549,1.153,114.86
Type-Q,47.946,6.859,0.165,0.195,40.87,0.389,5.067,84.411,17.097,824.845,1.206,fluid,51.734,21.973,18.53,8.013,14.555,1.506,101.765
Type-B,38.262,5.326,0.333,0.0,40.034,14.505,7.654,68.963,18.731,707.787,0.666,fluid,50.443,24.355,18.434,6.32,32.249,0.933,87.061
Type-W,48.767,5.42,0.448,0.117,36.172,1.991,0.0,77.948,24.881,749.412,1.164,fluid,51.034,19.18,23.438,6.128,12.932,1.025,97.797
Type-D,39.95,5.055,0.21,0.0,51.817,2.245,10.43,82.591,13.318,633.409,0.801,fluid,46.549,21.23,22.09,9.467,73.483,0.725,181.826
Type-M,51.854,6.641,0.223,0.0,45.374,0.495,11.046,74.611,17.246,832.194,0.7,fluid,47.968,21.099,22.804,8.148,13.36,1.165,95.94
Type-I,51.282,6.68,1.145,0.227,36.969,9.352,9.912,63.966,15.913,812.223,1.332,fix,43.267,25.203,23.332,8.28,12.604,2.288,48.289
Type-B,35.318,5.545,0.341,0.0,41.814,15.47,7.33,65.705,17.902,775.254,0.655,fluid,51.827,23.922,18.26,6.26,35.106,0.907,93.483
Type-R,49.721,6.889,0.173,0.198,42.657,0.343,5.609,69.553,17.519,796.884,0.626,fluid,45.077,26.581,18.576,9.743,2.078,0.936,202.711
Type-A,35.052,4.544,0.23,0.0,48.652,14.749,10.145,69.807,17.709,748.776,0.793,fluid,55.47,18.854,19.376,6.284,43.078,0.836,148.888
Type-B,37.126,5.244,0.331,0.0,42.226,15.892,7.851,66.953,18.342,775.67,0.761,fluid,52.464,22.474,18.889,6.126,20.667,1.126,60.999
Type-N,51.081,5.069,0.259,0.349,41.791,5.438,0.0,79.923,14.608,904.73,0.74,fix,53.522,26.245,17.988,2.29,0.0,1.182,98.775
Type-K,49.59,5.697,0.672,0.011,36.792,8.109,0.0,72.36,22.037,819.011,0.666,fix,40.608,24.67,22.113,12.432,11.625,0.734,210.1
Type-R,54.995,6.091,0.158,0.212,42.265,0.354,5.363,78.611,17.371,775.873,0.211,fluid,39.228,31.848,18.85,9.956,3.014,0.771,268.193
Type-I,49.879,6.432,1.124,0.215,31.771,8.681,9.749,64.918,17.128,903.237,0.513,fix,44.628,30.858,19.115,5.419,12.702,1.477,56.236
Type-W,51.836,5.786,0.429,0.129,39.436,1.874,0.0,74.0,21.827,747.769,0.998,fluid,51.001,19.188,23.444,6.13,12.821,0.985,96.699
Type-D,38.628,5.417,0.223,0.0,51.416,2.42,11.147,80.704,12.68,738.054,0.81,fluid,48.698,20.607,21.754,9.323,71.147,0.642,211.941
Type-V,51.59,6.921,0.842,0.511,31.05,6.839,9.215,71.8,15.532,767.616,1.295,fix,48.297,24.375,19.854,7.636,0.835,1.392,106.187
Type-N,49.493,5.169,0.279,0.334,40.722,5.636,0.0,74.972,13.087,701.885,0.982,fix,36.249,12.07,40.726,10.967,97.614,0.948,168.57
Type-C,33.906,5.512,1.004,0.09,40.11,12.966,0.0,78.381,10.447,500.0,0.899,fix,16.236,53.756,21.73,8.6,12.532,0.174,93.499
Type-J,48.83,7.537,0.166,0.09,37.437,8.188,0.0,83.699,5.222,910.9,1.205,fix,21.64,23.647,26.07,28.653,12.335,0.924,107.693
Type-F,44.895,6.03,0.985,0.106,45.359,1.625,12.754,75.997,15.107,809.813,1.124,fluid,59.776,15.037,17.032,8.015,12.855,1.048,96.523
Type-I,46.034,7.397,1.239,0.21,37.575,8.801,9.412,60.503,17.086,919.032,1.989,fix,48.335,16.48,32.923,2.414,13.569,1.302,91.447
Type-Q,54.139,6.279,0.159,0.202,42.638,0.372,4.961,90.49,17.866,927.274,1.049,fluid,55.383,20.341,17.145,7.414,10.697,1.667,108.859
Type-I,46.232,5.954,1.174,0.231,34.519,8.868,10.128,63.128,16.44,676.917,1.549,fix,30.05,36.489,21.803,11.617,12.795,1.485,84.2
Type-P,46.199,5.411,0.396,0.097,44.703,0.273,0.0,79.956,16.695,790.681,0.416,fluid,28.324,41.276,13.688,16.714,12.434,1.125,104.378
Type-N,47.486,5.531,0.245,0.297,42.055,5.688,0.0,81.673,14.118,900.769,0.592,fix,54.143,23.649,20.871,1.345,0.0,1.345,105.025
Type-V,53.592,6.729,0.9,0.478,32.277,6.584,8.828,80.284,16.589,832.355,1.183,fix,58.869,15.182,21.812,4.565,0.229,1.66,97.825
Type-R,49.086,6.973,0.156,0.193,39.264,0.331,4.806,76.152,17.458,807.746,0.44,fluid,39.761,34.29,15.561,10.424,2.339,0.766,220.702
Type-N,52.058,5.313,0.261,0.317,39.97,5.985,0.0,81.971,16.2,833.88,1.331,fix,52.34,16.174,29.116,2.207,3.271,1.296,114.204
Type-B,34.683,4.969,0.341,0.0,40.828,15.794,8.2,68.813,19.349,740.843,0.624,fluid,47.126,28.61,16.763,7.858,56.827,0.714,129.313
Type-C,36.661,5.802,0.922,0.087,42.539,11.526,0.0,71.139,10.236,727.279,1.023,fix,46.3,29.273,17.638,7.019,13.002,0.557,101.388
Type-K,51.269,5.279,0.606,0.01,37.604,6.934,0.0,70.217,21.292,809.664,0.959,fix,51.56,22.354,19.644,6.044,13.043,0.87,199.297
Type-Q,51.903,6.922,0.168,0.204,43.683,0.366,5.406,80.085,17.873,871.935,0.973,fluid,54.37,20.593,17.276,7.471,11.866,1.559,104.064
Type-N,48.716,5.672,0.252,0.329,38.167,5.683,0.0,80.069,14.789,889.482,0.852,fix,53.94,23.708,20.901,1.347,0.0,1.37,109.319
Type-H,50.88,5.444,0.986,0.253,40.57,4.393,9.103,81.96,15.778,653.424,1.7,fluid,81.576,12.446,3.939,1.336,11.345,1.108,26.785
Type-N,52.007,5.494,0.24,0.313,38.762,5.088,0.0,77.389,14.248,860.199,1.222,fix,52.829,16.074,29.002,2.199,3.07,1.323,98.819
Type-U,51.529,5.853,0.213,0.101,41.521,0.431,8.557,84.354,14.914,791.808,1.341,fluid,26.901,45.066,13.755,14.284,10.476,0.609,105.146
Type-S,48.753,6.28,0.097,0.0,40.846,0.542,0.0,90.247,13.015,513.821,1.168,fix,7.876,38.122,41.195,12.74,13.558,0.139,95.587
Type-E,41.319,5.605,0.188,0.0,52.522,1.416,8.509,80.436,13.098,695.551,0.928,fluid,56.044,21.136,15.774,6.31,28.824,1.196,97.69
Type-O,46.956,5.555,0.041,0.0,41.542,0.55,9.678,81.863,17.764,901.556,2.046,fix,42.509,31.077,18.651,7.771,148.453,0.989,3.36
Type-T,50.264,5.91,0.192,0.0,42.977,0.212,7.251,94.503,15.307,842.907,1.424,fluid,46.942,22.127,21.487,9.388,2.887,1.432,110.75
Type-O,47.377,5.844,0.04,0.0,43.555,0.569,9.112,80.789,19.521,880.72,1.71,fix,42.214,31.221,18.679,7.783,144.427,1.007,3.492
Type-V,49.972,6.822,0.892,0.496,33.557,7.837,9.638,71.807,14.749,784.169,1.482,fix,51.209,19.268,21.767,7.593,0.786,1.43,103.232
Type-D,40.261,5.167,0.216,0.0,53.923,2.291,11.316,87.147,14.01,754.031,0.562,fluid,49.026,20.512,21.704,9.302,71.585,0.672,199.064
Type-J,50.283,7.34,0.17,0.098,34.952,7.324,0.0,77.975,5.427,883.312,1.191,fix,21.441,23.793,26.084,28.668,12.562,0.946,105.529
Type-V,57.017,6.844,0.758,0.497,32.147,6.339,10.087,80.245,15.77,807.255,2.905,fix,52.936,15.201,26.872,5.07,2.884,1.285,99.924
Type-B,36.342,5.025,0.359,0.0,40.369,15.664,7.717,69.745,19.528,671.045,0.919,fluid,38.916,35.187,17.163,8.841,99.441,0.535,181.58
Type-D,39.412,5.486,0.206,0.0,45.659,2.281,10.666,81.091,14.552,761.041,0.75,fluid,53.054,22.498,18.431,6.144,48.557,0.819,187.301
Type-O,46.976,6.273,0.039,0.0,42.569,0.594,9.483,79.715,19.129,863.543,1.357,fix,35.088,39.556,14.809,10.578,228.585,0.897,6.256
Type-E,46.209,6.366,0.195,0.0,53.672,1.246,8.673,83.86,14.55,690.869,0.599,fluid,58.744,22.623,12.329,6.164,38.338,0.872,140.499
Type-U,50.437,6.068,0.199,0.111,38.71,0.409,7.074,92.516,14.701,826.222,0.812,fluid,27.249,44.679,13.761,14.29,9.367,0.572,95.269
Type-F,43.002,7.01,0.965,0.11,43.539,1.583,11.132,78.964,16.274,804.88,1.857,fluid,59.968,14.122,17.638,8.063,6.227,1.093,100.445
Type-F,49.069,6.204,1.007,0.106,46.228,1.648,10.854,77.331,14.566,857.645,1.414,fluid,60.826,14.862,16.884,7.945,12.772,1.197,101.436
Type-D,45.028,5.107,0.198,0.0,49.215,2.417,10.728,87.964,13.491,697.41,0.842,fluid,47.863,20.849,21.883,9.379,75.01,0.688,210.486
Type-P,47.953,5.9,0.381,0.094,43.246,0.272,0.0,91.461,16.183,764.249,1.1,fluid,56.894,14.277,22.833,5.92,12.668,0.956,105.535
Type-I,50.448,7.394,1.14,0.221,34.271,9.65,9.811,61.563,16.879,909.952,2.311,fix,54.791,17.781,24.735,2.796,13.365,1.468,41.468
Type-U,49.641,4.961,0.214,0.104,38.714,0.417,8.627,90.22,16.154,726.318,1.23,fluid,26.067,42.371,16.839,14.734,11.795,0.512,101.73
Type-R,49.416,6.528,0.168,0.195,44.906,0.33,5.526,71.335,16.13,828.206,0.429,fluid,40.065,34.114,15.541,10.411,2.54,0.766,199.815
Type-C,33.365,5.899,1.059,0.096,35.054,13.191,0.0,74.91,9.836,650.615,1.076,fix,44.796,29.919,17.79,7.08,12.778,0.576,105.004
Type-Q,42.929,6.555,0.156,0.215,43.345,0.369,5.121,81.996,19.196,893.881,0.537,fluid,54.349,20.685,17.385,7.518,13.271,1.37,108.185
